Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","132","Cabo Verde","5111","Stocks","02122","Sheep","2019","2019","An","12520","A","Official figure",""
"QCL","Crops and livestock products","132","Cabo Verde","5111","Stocks","02122","Sheep","2020","2020","An","18768","A","Official figure",""
"QCL","Crops and livestock products","132","Cabo Verde","5111","Stocks","02122","Sheep","2021","2021","An","18997","A","Official figure",""
"QCL","Crops and livestock products","132","Cabo Verde","5111","Stocks","02122","Sheep","2022","2022","An","19229","A","Official figure",""
"QCL","Crops and livestock products","120","Cameroon","5111","Stocks","02122","Sheep","2019","2019","An","3606487","I","Imputed value",""
"QCL","Crops and livestock products","120","Cameroon","5111","Stocks","02122","Sheep","2020","2020","An","3600670","I","Imputed value",""
"QCL","Crops and livestock products","120","Cameroon","5111","Stocks","02122","Sheep","2021","2021","An","3602816","I","Imputed value",""
"QCL","Crops and livestock products","120","Cameroon","5111","Stocks","02122","Sheep","2022","2022","An","3605529","I","Imputed value",""
"QCL","Crops and livestock products","124","Canada","5111","Stocks","02122","Sheep","2019","2019","An","827900","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5111","Stocks","02122","Sheep","2020","2020","An","810800","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5111","Stocks","02122","Sheep","2021","2021","An","813700","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5111","Stocks","02122","Sheep","2022","2022","An","822200","A","Official figure",""
"QCL","Crops and livestock products","140","Central African Republic","5111","Stocks","02122","Sheep","2019","2019","An","420875","E","Estimated value",""
"QCL","Crops and livestock products","140","Central African Republic","5111","Stocks","02122","Sheep","2020","2020","An","428034","E","Estimated value",""
"QCL","Crops and livestock products","140","Central African Republic","5111","Stocks","02122","Sheep","2021","2021","An","434903","E","Estimated value",""
"QCL","Crops and livestock products","140","Central African Republic","5111","Stocks","02122","Sheep","2022","2022","An","441336","E","Estimated value",""
